Job Title,Employment Type,Salary In Usd
Data Scientist,FT,62726
Data Scientist,FT,115000
Principal Data Scientist,FT,235000
Lead Data Analyst,FT,19661
AI Scientist,PT,12000
Data Analyst,FT,75000
Data Analyst,FT,62000
Data Scientist,FT,73000
Data Engineer,FT,45773
Data Science Manager,FT,190200
Data Scientist,FT,118000
Data Scientist,FT,138350
Data Engineer,FT,130800
Machine Learning Engineer,FT,45618
Director of Data Science,FT,168000
Data Scientist,FT,119353
Applied Machine Learning Scientist,FT,423000
Data Engineer,FT,28608
Data Specialist,FT,165000
Data Scientist,FT,412000
Principal Data Scientist,FT,151000
Data Scientist,FT,105000
Business Data Analyst,CT,100000
Data Science Manager,FT,94917
